origin_date,Active Devices
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
2020-06-01,0
2020-06-02,0
2020-06-03,0
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,0
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,12169
2020-06-24,13146
2020-06-25,11988
2020-06-26,9009
2020-06-27,7329
2020-06-28,9336
2020-06-29,9692
2020-06-30,9676
2020-07-01,9175
2020-07-02,8867
2020-07-03,6838
2020-07-04,5399
2020-07-05,6842
2020-07-06,7153
2020-07-07,7330
2020-07-08,7528
2020-07-09,7491
2020-07-10,6039
2020-07-11,4800
2020-07-12,5982
2020-07-13,6959
2020-07-14,7156
2020-07-15,9937
2020-07-16,11907
2020-07-17,9746
2020-07-18,7823
2020-07-19,8916
2020-07-20,9135
2020-07-21,8730
2020-07-22,17791
2020-07-23,17615
2020-07-24,15500
2020-07-25,13074
2020-07-26,15041
2020-07-27,15722
2020-07-28,16139
2020-07-29,16060
2020-07-30,15269
2020-07-31,12434
2020-08-01,11466
2020-08-02,13905
2020-08-03,15135
2020-08-04,17702
2020-08-05,22353
2020-08-06,25533
2020-08-07,22898
2020-08-08,19825
2020-08-09,21764
2020-08-10,23030
2020-08-11,101234
2020-08-12,247810
2020-08-13,394899
2020-08-14,447043
2020-08-15,412493
2020-08-16,481598
2020-08-17,530093
2020-08-18,564225
2020-08-19,627665
2020-08-20,662617
2020-08-21,693138
2020-08-22,631204
2020-08-23,664918
2020-08-24,701100
2020-08-25,740358
2020-08-26,773863
2020-08-27,786779
2020-08-28,800732
2020-08-29,713879
2020-08-30,830505
2020-08-31,909813
2020-09-01,926782
2020-09-02,966795
2020-09-03,980014
2020-09-04,999525
2020-09-05,906369
2020-09-06,906313
2020-09-07,912710
2020-09-08,916476
2020-09-09,920990
2020-09-10,939965
2020-09-11,870464
2020-09-12,753980
2020-09-13,743107
2020-09-14,721328
2020-09-15,747640
2020-09-16,755486
2020-09-17,747912
2020-09-18,735822
2020-09-19,666502
2020-09-20,672636
2020-09-21,634998
2020-09-22,567223
2020-09-23,555593
2020-09-24,554380
2020-09-25,556310
2020-09-26,484371
2020-09-27,480492
2020-09-28,476854
2020-09-29,488171
2020-09-30,486281
2020-10-01,483427
2020-10-02,465220
2020-10-03,411990
2020-10-04,430658
2020-10-05,445183
2020-10-06,443542
2020-10-07,424193
2020-10-08,405512
2020-10-09,389153
2020-10-10,336633
2020-10-11,341519
2020-10-12,334891
2020-10-13,346758
2020-10-14,338603
2020-10-15,335379
2020-10-16,351370
2020-10-17,276278
2020-10-18,285026
2020-10-19,297398
2020-10-20,302897
2020-10-21,331599
2020-10-22,383649
2020-10-23,461094
2020-10-24,414126
2020-10-25,356442
2020-10-26,391955
2020-10-27,407609
2020-10-28,399927
2020-10-29,399422
2020-10-30,379339
2020-10-31,318968
2020-11-01,338274
2020-11-02,356540
2020-11-03,388506
2020-11-04,388082
2020-11-05,387718
2020-11-06,388484
2020-11-07,337631
2020-11-08,369357
2020-11-09,389794
2020-11-10,392149
2020-11-11,394755
2020-11-12,488294
2020-11-13,523378
2020-11-14,460816
2020-11-15,469411
2020-11-16,482552
2020-11-17,480625
2020-11-18,480886
2020-11-19,494393
2020-11-20,479784
2020-11-21,414011
2020-11-22,422397
2020-11-23,428741
2020-11-24,423462
2020-11-25,440103
2020-11-26,447271
2020-11-27,421681
2020-11-28,353937
2020-11-29,367113
2020-11-30,359352
2020-12-01,367175
2020-12-02,367033
2020-12-03,354406
2020-12-04,325398
2020-12-05,275902
2020-12-06,286374
2020-12-07,299807
2020-12-08,307705
2020-12-09,318903
2020-12-10,322325
2020-12-11,299901
2020-12-12,252033
2020-12-13,275298
2020-12-14,290142
2020-12-15,295860
2020-12-16,301880
2020-12-17,297201
2020-12-18,280257
2020-12-19,240690
2020-12-20,268954
2020-12-21,296915
2020-12-22,299364
2020-12-23,283081
2020-12-24,141071
2020-12-25,102079
2020-12-26,173399
2020-12-27,187496
2020-12-28,220731
2020-12-29,235950
2020-12-30,236166
2020-12-31,182271
2021-01-01,166682
2021-01-02,189924
2021-01-03,187948
2021-01-04,236311
2021-01-05,262933
2021-01-06,264889
2021-01-07,265919
2021-01-08,265491
2021-01-09,223806
2021-01-10,256961
2021-01-11,279268
2021-01-12,286978
2021-01-13,309516
2021-01-14,324790
2021-01-15,311248
2021-01-16,271393
2021-01-17,305225
2021-01-18,344202
2021-01-19,347391
2021-01-20,349823
2021-01-21,348232
2021-01-22,331225
2021-01-23,287715
2021-01-24,461275
2021-01-25,557435
2021-01-26,549102
2021-01-27,613262
2021-01-28,639025
2021-01-29,619131
2021-01-30,542329
2021-01-31,490794
2021-02-01,524992
2021-02-02,539091
2021-02-03,530882
2021-02-04,528189
2021-02-05,499144
2021-02-06,441935
2021-02-07,385670
2021-02-08,449218
2021-02-09,470218
2021-02-10,465242
2021-02-11,478730
2021-02-12,456892
2021-02-13,399068
2021-02-14,710488
2021-02-15,761030
2021-02-16,784965
2021-02-17,903383
2021-02-18,875124
2021-02-19,811563
2021-02-20,711368
2021-02-21,706568
2021-02-22,687554
2021-02-23,704119
2021-02-24,710571
2021-02-25,696849
2021-02-26,691210
2021-02-27,701545
2021-02-28,807694
2021-03-01,805765
2021-03-02,815036
2021-03-03,807011
2021-03-04,788296
2021-03-05,763491
2021-03-06,731898
2021-03-07,768315
2021-03-08,752534
2021-03-09,742377
2021-03-10,736489
2021-03-11,724380
2021-03-12,661487
2021-03-13,576388
2021-03-14,588538
2021-03-15,594123
2021-03-16,588024
2021-03-17,584514
2021-03-18,582603
2021-03-19,556381
2021-03-20,479192
2021-03-21,492134
2021-03-22,506548
2021-03-23,517609
2021-03-24,522022
2021-03-25,523382
2021-03-26,491183
2021-03-27,426384
2021-03-28,438349
2021-03-29,451950
2021-03-30,462849
2021-03-31,483762
2021-04-01,355999
2021-04-02,335266
2021-04-03,334594
2021-04-04,262450
2021-04-05,393473
2021-04-06,436065
2021-04-07,432945
2021-04-08,453121
2021-04-09,422810
2021-04-10,352651
2021-04-11,401590
2021-04-12,433612
2021-04-13,431683
2021-04-14,434933
2021-04-15,429984
2021-04-16,403888
2021-04-17,351223
2021-04-18,369736
2021-04-19,395708
2021-04-20,406016
2021-04-21,423717
2021-04-22,419034
2021-04-23,404587
2021-04-24,311922
2021-04-25,302198
2021-04-26,355975
2021-04-27,389363
2021-04-28,388423
2021-04-29,389181
2021-04-30,369823
2021-05-01,317803
2021-05-02,338255
2021-05-03,355889
2021-05-04,359046
2021-05-05,363638
2021-05-06,374380
2021-05-07,352438
2021-05-08,299247
2021-05-09,317763
2021-05-10,333154
2021-05-11,330800
2021-05-12,337524
2021-05-13,342656
2021-05-14,322947
2021-05-15,284900
2021-05-16,295019
2021-05-17,303896
2021-05-18,322358
2021-05-19,326557
2021-05-20,326280
2021-05-21,299730
2021-05-22,261315
2021-05-23,268877
2021-05-24,286602
2021-05-25,301828
2021-05-26,313009
2021-05-27,324347
2021-05-28,309943
2021-05-29,255175
2021-05-30,256187
2021-05-31,281826
2021-06-01,300753
2021-06-02,309351
2021-06-03,313616
2021-06-04,318045
2021-06-05,271170
2021-06-06,224634
2021-06-07,266503
2021-06-08,297801
2021-06-09,299793
2021-06-10,306013
2021-06-11,286327
2021-06-12,242941
2021-06-13,252590
2021-06-14,265104
2021-06-15,276758
2021-06-16,283107
2021-06-17,286469
2021-06-18,271606
2021-06-19,226835
2021-06-20,237887
2021-06-21,262074
2021-06-22,318622
2021-06-23,482433
2021-06-24,491460
2021-06-25,475317
2021-06-26,399592
2021-06-27,404930
2021-06-28,430272
2021-06-29,434548
2021-06-30,448953
2021-07-01,436388
2021-07-02,418608
2021-07-03,356799
2021-07-04,357404
2021-07-05,371356
2021-07-06,372903
2021-07-07,380327
2021-07-08,379057
2021-07-09,367985
2021-07-10,324897
2021-07-11,321561
2021-07-12,346003
2021-07-13,352810
2021-07-14,361282
2021-07-15,359956
2021-07-16,325928
2021-07-17,272182
2021-07-18,301763
2021-07-19,331297
2021-07-20,339043
2021-07-21,332183
2021-07-22,336034
2021-07-23,330349
2021-07-24,288639
2021-07-25,287860
2021-07-26,302929
2021-07-27,314729
2021-07-28,324665
2021-07-29,327936
2021-07-30,308161
2021-07-31,270437
2021-08-01,280462
2021-08-02,291148
2021-08-03,295295
2021-08-04,307737
2021-08-05,304829
2021-08-06,297137
2021-08-07,255562
2021-08-08,249736
2021-08-09,286535
2021-08-10,307979
2021-08-11,326906
2021-08-12,334933
2021-08-13,322241
2021-08-14,279923
2021-08-15,291255
2021-08-16,302340
2021-08-17,500666
